,instance,efficiency_total,efficiency_efficiency,efficiency_fairness,efficiency_wellbeing,fairness_total,fairness_efficiency,fairness_fairness,fairness_wellbeing,wellbeing_total,wellbeing_efficiency,wellbeing_fairness,wellbeing_wellbeing,SA_total,SA_efficiency,SA_fairness,SA_wellbeing
0,i-054,110310.5,65424.7,60051.5,50502.6,90193.2,88375.0,2832.3,13478.1,69569.8,68510.1,8500.1,2064.2,69904.4,65455.9,12870.4,7941.5
1,i-077,38707.1,15041.3,34522.6,24056.9,20821.9,20175.7,9407.2,2233.9,27865.3,27641.7,18044.0,347.6,17114.5,16305.1,12376.6,1487.2
2,i-083,16151.7,11277.5,10187.0,5170.3,14310.9,13028.3,4493.9,1455.8,19827.2,19456.5,9781.7,412.0,15828.3,12949.1,9226.6,3281.3
3,i-100,16413.2,16294.6,12424.5,151.1,17342.1,17273.9,11404.8,68.7,25827.8,25805.8,20646.4,22.0,17916.6,17802.8,14032.2,114.3
4,i-116,21426.5,12417.0,20745.5,9209.5,18719.9,15483.5,17744.4,3836.4,19670.0,18601.0,18493.0,1869.0,18303.5,15261.9,17340.8,3621.6
5,i-126,93791.2,48321.8,52655.8,57740.6,66097.7,63926.7,1683.2,17823.4,46000.1,44029.0,4375.9,8378.3,49607.6,45123.1,7678.3,13073.7
6,i-134,18321.8,15039.8,16897.4,3894.8,15934.0,15890.0,14120.0,933.6,16190.5,16146.5,14497.4,900.0,15820.0,15776.0,14171.0,900.0
7,i-164,114902.0,54692.0,76083.8,60983.6,73769.5,73360.6,3498.5,1358.5,75252.1,75196.1,14432.0,56.0,61539.7,59646.7,13191.2,1911.4
8,i-167,41709.2,12027.9,32055.2,30502.1,19685.5,19175.7,2180.2,5530.3,21603.7,21389.5,10174.2,1093.0,16818.2,16246.7,6580.8,2391.8
9,i-175,224429.1,32182.9,216237.7,192250.4,83563.1,81199.5,23578.1,2372.6,100250.6,99863.6,41847.8,387.0,34314.7,32685.5,25289.7,1629.2
10,i-185,193753.2,20552.4,178289.6,173392.8,47594.3,41954.9,7307.5,5764.4,51144.1,50051.5,17808.1,1092.6,26839.8,22275.0,10138.0,5426.0
11,i-219,31314.6,9971.5,21472.2,21825.5,28132.3,27868.3,238.5,1056.0,27354.4,27314.4,358.8,40.0,11535.0,11214.2,554.8,1028.8
12,i-235,7945.9,7641.4,5633.4,1309.5,5991.2,5846.9,3122.7,1405.1,7830.5,7817.9,5734.8,707.7,7694.3,7642.7,5439.3,979.6
13,i-247,22838.3,20929.1,21743.2,2358.5,23429.2,23369.2,19894.0,1946.6,21188.0,21128.0,19894.0,557.0,21383.0,21318.6,19898.4,861.7
14,i-250,81121.0,27421.8,64825.3,53934.9,45740.5,45646.7,4010.5,1310.1,46308.7,46296.5,12186.3,12.2,29697.0,29564.1,10775.3,612.9
15,i-263,46498.6,35975.6,15310.2,13075.4,75068.1,74781.9,1662.0,2666.8,67026.0,66878.0,4638.0,168.0,38049.8,36721.4,6060.9,3611.6
16,i-272,92408.5,26236.9,77087.0,66879.6,31964.4,31425.2,7464.6,3770.2,40176.1,40043.3,22359.0,732.8,27974.6,27533.3,12000.5,1833.3
17,i-316,11882.0,10109.3,8928.7,1958.1,11533.9,10721.0,7931.6,1102.7,12298.7,11201.6,8600.4,1508.1,11510.3,10541.3,8183.2,1290.6
18,i-360,74025.3,44580.1,33964.2,32485.4,77933.0,76717.4,1308.6,4217.4,65649.6,65149.6,4024.0,700.0,49530.6,46882.4,6404.2,5204.4
19,i-369,33913.1,26209.4,18069.3,10139.1,32182.0,31924.9,6485.1,3979.5,29446.7,29047.6,9317.5,2238.1,26947.4,24910.3,9179.9,4477.1
20,i-406,41615.9,24024.4,22841.5,19379.8,34900.9,34808.8,882.1,3367.1,27912.3,27910.2,3357.1,1239.6,26197.6,26097.5,5705.1,2637.0
21,i-414,37848.9,31602.9,16561.2,7204.0,37019.2,34772.6,8435.6,3346.6,38513.0,37564.4,14054.4,1417.1,35982.0,32721.4,12185.6,4261.1
22,i-416,156584.7,37072.1,119296.2,119551.8,99400.9,98320.1,56.8,3299.6,82671.6,82494.0,373.2,177.6,42150.7,41083.3,847.0,1076.6
23,i-446,59428.2,19470.0,48807.3,40082.4,24781.5,24646.6,7045.7,518.9,26373.8,26373.8,10377.9,0.0,21768.3,21476.1,8958.0,580.2
