,instance,caregiver_total,caregiver_organization,caregiver_patient,caregiver_caregiver,patient_total,patient_organization,patient_patient,patient_caregiver,organization_total,organization_organization,organization_patient,organization_caregiver,SA_total,SA_organization,SA_patient,SA_caregiver
0,i-054,109681.3,74994.3,34395.8,291.2,114741.0,96550.2,562.6,17628.2,258558.7,63621.3,164168.8,30768.6,69904.4,61962.9,5474.5,2467.0
1,i-077,49041.6,30046.6,18911.0,84.0,30571.8,28711.9,172.8,1687.1,68160.3,14297.9,50119.8,3742.6,17114.5,15627.3,1309.4,177.8
2,i-083,20845.8,18997.0,1848.8,0.0,21186.2,20714.0,353.7,118.5,20622.9,10940.9,9218.5,463.5,15828.3,12547.0,2858.2,423.1
3,i-100,27044.3,26848.8,195.5,0.0,31348.6,31164.6,22.0,162.0,16276.1,16063.3,178.3,34.5,17916.6,17802.3,105.8,8.5
4,i-116,22749.4,17601.9,5147.5,0.0,20860.0,18583.0,1669.0,608.0,18460.0,12177.0,6283.0,0.0,18303.5,14681.9,3621.6,0.0
5,i-126,67248.5,42541.0,23025.1,1682.4,73883.5,55884.1,919.4,17080.0,172732.0,37285.9,112585.9,22860.2,49607.6,36533.9,7476.5,5597.2
6,i-134,22481.0,20447.6,2033.4,0.0,17897.6,16411.4,639.0,847.2,16834.0,13328.0,3018.0,488.0,15820.0,14920.0,684.0,216.0
7,i-164,106188.0,76036.3,30151.7,0.0,80478.1,79292.9,47.6,1137.6,311374.3,56290.8,230809.1,24274.4,61539.7,59628.3,1893.0,18.4
8,i-167,72359.6,47327.4,25032.2,0.0,27015.6,22957.5,830.4,3227.7,48520.7,12332.4,36175.0,13.3,16818.2,14426.4,2371.5,20.3
9,i-175,253746.6,103562.3,150184.3,0.0,100860.4,100300.2,396.0,164.2,341438.4,32970.4,306292.0,2176.0,34314.7,32685.5,1629.2,0.0
10,i-185,166630.5,50396.5,116234.0,0.0,51300.5,49876.1,1063.8,360.6,224962.4,19941.1,204104.8,916.5,26839.8,21413.8,5424.8,1.2
11,i-219,46937.0,30797.7,16139.3,0.0,26038.8,25998.8,40.0,0.0,75794.2,7740.6,55640.0,12413.6,11535.0,10506.2,1028.8,0.0
12,i-235,21152.4,18958.2,2194.2,0.0,12126.7,10485.0,170.5,1471.2,9525.7,7503.8,1389.2,632.7,7694.3,6714.7,811.6,168.0
13,i-247,23968.8,21607.8,2300.0,61.0,21747.1,21123.4,212.2,411.5,24276.9,20291.1,3737.8,248.0,21383.0,20521.3,598.4,263.3
14,i-250,89526.1,52753.3,36772.8,0.0,48292.4,48265.3,13.0,14.1,79919.5,26785.7,52985.3,148.5,29697.0,29084.1,612.9,0.0
15,i-263,79868.7,68457.7,11411.0,0.0,73121.3,70171.3,143.2,2806.8,99141.1,29832.1,43920.0,25389.0,38049.8,34438.2,3598.4,13.2
16,i-272,91639.7,43210.6,48429.1,0.0,41291.4,40347.0,694.4,250.0,159007.4,32010.3,119608.1,7389.0,27974.6,26141.3,1833.3,0.0
17,i-316,11941.1,10478.8,1449.7,12.6,11238.2,10644.1,493.3,100.8,18841.8,9383.0,7687.0,1771.8,11510.3,10219.7,969.0,321.6
18,i-360,96060.5,71148.5,24912.0,0.0,66244.0,65314.8,631.0,298.2,125490.6,37604.8,71674.8,16211.0,49530.6,44326.2,5188.2,16.2
19,i-369,35307.7,29496.6,5495.7,315.4,43507.3,39851.0,979.5,2676.8,41178.4,26158.4,12464.0,2556.0,26947.4,22470.3,3567.1,910.0
20,i-406,55655.9,43002.5,12653.4,0.0,40885.5,38764.7,546.0,1574.8,47910.3,25364.7,21765.8,779.8,26197.6,23560.6,2396.1,240.9
21,i-414,41349.5,37638.6,3708.4,2.5,38842.3,37684.3,701.0,457.0,42515.0,30262.9,10519.6,1732.5,35982.0,31720.9,3260.6,1000.5
22,i-416,164543.5,84572.3,79971.2,0.0,91184.8,88313.6,114.4,2756.8,1474349.5,25622.3,1410002.8,38724.4,42150.7,41074.1,1067.4,9.2
23,i-446,55331.1,28463.8,26867.3,0.0,27087.2,27087.2,0.0,0.0,60407.3,19508.1,40814.9,84.3,21768.3,21188.1,580.2,0.0
